L_ADD_F,L_ADD_T,R_ADD_F,R_ADD_T,ROAD_NAME,ROAD_SUF,FULL_NAME,DIR,ALIAS,LANES,SURFACE_CO,YEAR_INSTA,OWNER,LIFECYCLES,SUBTYPE
8212,8216,8213,8217,TANGLEROSE,DR,TANGLEROSE DR,,,2,CON,1998-01-01,CI,COMP,7
8100,8198,8101,8199,TANGLEROSE,DR,TANGLEROSE DR,,,2,CON,1998-01-01,CI,COMP,7
11101,11211,11100,11210,CORALBERRY,DR,CORALBERRY DR,,,2,CON,1999-01-01,CI,COMP,7
8502,8510,8503,8511,INDIANOLA,DR,INDIANOLA DR,,,2,CON,1999-01-01,CI,COMP,7
8400,8420,8401,8421,INDIANOLA,DR,INDIANOLA DR,,,2,CON,1999-01-01,CI,COMP,7
8302,8314,8303,8315,INDIANOLA,DR,INDIANOLA DR,,,2,CON,1999-01-01,CI,COMP,7
8300,8312,8301,8313,LAKOTA,TRL,LAKOTA TRL,,,2,CON,1999-01-01,CI,COMP,7
8100,8198,8101,8199,PRESIDIO,DR,PRESIDIO DR,,,2,CON,1997-01-01,CI,COMP,7
0,0,8201,8201,PRESIDIO,DR,PRESIDIO DR,,,2,CON,1997-01-01,CI,COMP,7
8746,8794,0,0,FISHER,DR,FISHER DR,,,2,CON,1996-01-01,CI,COMP,6
8634,8730,8703,8707,FISHER,DR,FISHER DR,,,2,CON,1996-01-01,CI,COMP,6
0,0,0,0,CORALBERRY,DR,CORALBERRY DR,,,2,CON,1997-01-01,CI,COMP,7
8510,8612,8511,8613,FISHER,DR,FISHER DR,,,2,CON,1996-01-01,CI,COMP,6
0,0,10900,10900,CORALBERRY,DR,CORALBERRY DR,,,2,CON,1997-01-01,CI,COMP,7
7900,7998,7901,7999,FISHER,DR,FISHER DR,,,2,CON,2000-01-01,CI,COMP,6
7800,7898,7801,7899,FISHER,DR,FISHER DR,,,2,CON,2000-01-01,CI,COMP,6
7700,7798,7701,7799,FISHER,DR,FISHER DR,,,2,CON,2000-01-01,CI,COMP,6
10607,10699,10624,10698,STAR MEADOW,DR,STAR MEADOW DR,,,2,CON,2001-01-01,CI,COMP,7
7400,7498,7401,7499,FISHER,DR,FISHER DR,,,2,CON,2000-01-01,CI,COMP,6
10555,10599,10504,10598,ENCHANTED MEADOW,DR,ENCHANTED MEADOW DR,,,2,CON,2000-01-01,CI,COMP,7
7600,7782,7631,7753,RED CLOVER,DR,RED CLOVER DR,,,2,CON,2000-01-01,CI,COMP,7
10601,10699,10600,10698,VALLEY CREEK,DR,VALLEY CREEK DR,,,2,CON,1996-01-01,CI,COMP,7
10503,10639,10500,10630,WHISPERING PINES,DR,WHISPERING PINES DR,,,2,CON,2000-01-01,CI,COMP,7
7916,7994,7917,7995,RAINTREE,WAY,RAINTREE WAY,,,2,CON,2000-01-01,CI,COMP,7
10401,10529,10400,10502,ENCHANTED MEADOW,DR,ENCHANTED MEADOW DR,,,2,CON,2000-01-01,CI,COMP,7
10325,10375,10324,10500,LAST STAND,CIR,LAST STAND CIR,,,2,CON,1994-01-01,CI,COMP,7
15750,15960,15751,15961,BIG HORN,TRL,BIG HORN TRL,,,2,CON,1994-01-01,CI,COMP,7
10141,10401,10180,10400,CALVERY,CT,CALVERY CT,,,2,CON,1994-01-01,CI,COMP,7
9995,10201,9990,10200,BARTON,CIR,BARTON CIR,,,2,CON,1994-01-01,CI,COMP,7
15450,15740,15451,15741,BIG HORN,TRL,BIG HORN TRL,,,2,CON,1994-01-01,CI,COMP,7
9951,10151,9950,10150,LITTLE HORN,CIR,LITTLE HORN CIR,,,2,CON,1994-01-01,CI,COMP,7
15301,15361,15300,15440,LOOKOUT,PT,LOOKOUT PT,,,2,CON,1994-01-01,CI,COMP,7
8274,8320,8275,8321,CORI,LN,CORI LN,,,2,CON,1985-01-01,CI,COMP,7
9927,9949,9926,9948,CAMFIELD,AVE,CAMFIELD AVE,,,2,HMAC,2000-01-01,CI,COMP,7
8898,8940,8859,8941,THOMPSON,CIR,THOMPSON CIR,,,2,HMAC,2000-01-01,CI,COMP,7
8340,8390,8341,8391,KENT,DR,KENT DR,,,2,CON,1985-01-01,CI,COMP,7
9901,9961,9900,9960,DIXON,CT,DIXON CT,,,2,CON,1985-01-01,CI,COMP,7
8288,8326,8289,8327,KENT,DR,KENT DR,,,2,CON,1985-01-01,CI,COMP,7
9901,9961,9900,9960,MILLER,PL,MILLER PL,,,2,CON,1985-01-01,CI,COMP,7
8240,8264,8241,8265,KENT,DR,KENT DR,,,2,CON,1985-01-01,CI,COMP,7
9701,9799,9700,9798,THE TRAILS,PKWY,THE TRAILS PKWY,,,2,CON,2000-01-01,CI,COMP,6
1824,1848,1825,1849,SAGEBRUSH,DR,SAGEBRUSH DR,,,2,CON,2000-01-01,CI,COMP,7
9901,9999,9900,9998,NORTH COUNTY,RD,NORTH COUNTY RD,,,2,CON,2001-01-01,CI,COMP,6
9621,9681,9620,9680,ALAMOSA,TRL,ALAMOSA TRL,,,2,CON,1999-01-01,CI,COMP,7
6900,7498,6901,7499,STADIUM,LN,STADIUM LN,,,2,CON,2001-01-01,PR,COMP,7
2600,2698,2601,2699,OLD ORCHARD,DR,OLD ORCHARD DR,,,2,CON,2000-01-01,CI,COMP,7
7600,7650,7601,7651,ASHBURY,CT,ASHBURY CT,,,2,CON,2001-01-01,CI,COMP,7
9751,9899,9752,9898,NORTH COUNTY,RD,NORTH COUNTY RD,,,2,CON,2001-01-01,CI,COMP,6
2700,2798,2701,2799,OLD ORCHARD,DR,OLD ORCHARD DR,,,2,CON,2000-01-01,CI,COMP,7
9539,9599,9538,9598,ALAMOSA,TRL,ALAMOSA TRL,,,2,CON,1999-01-01,CI,COMP,7
2800,2898,2801,2899,OLD ORCHARD,DR,OLD ORCHARD DR,,,2,CON,2000-01-01,CI,COMP,7
9471,9499,9470,9498,SANTA FE,TRL,SANTA FE TRL,,,2,CON,2000-01-01,CI,COMP,7
